recalibration_method,n_samples,n_positive,n_negative,observed_prevalence,mean_probability,calibration_gap,ece,mce,brier,nll,n_bins,non_empty_bins,abs_calibration_gap,auroc,auprc,balanced_accuracy,sensitivity,specificity,f1,threshold,prediction_source,model_name,modality,feature_strategy,dataset,calibration_method,split,source_prevalence_for_offset,target_prevalence_for_offset,prevalence_offset
target_prevalence_intercept,8331,285,8046,0.03420957868203097,0.038039092557566705,0.003829513875535734,0.0038295138755357447,0.2234464320773575,0.03362947733639904,0.15424838521289447,10,3,0.003829513875535734,0.5194713729389345,0.03622099703301286,0.5,0.0,1.0,0.0,0.5,external_model_grid_beats_predictions,random_forest,cough,top_stable_50,coughvid,platt,external,0.3077165496979237,0.03420957868203097,-2.5296247562829284
source_calibrated,8331,285,8046,0.03420957868203097,0.3032465171285191,0.2690369384464881,0.26903693844648807,0.8232137464051956,0.12263595538967903,0.4138758037551555,10,8,0.2690369384464881,0.4930474333983106,0.032495729220539706,0.48247183955414263,0.05964912280701754,0.9052945563012678,0.03195488721804511,0.5,external_model_grid_beats_predictions,random_forest,cough,top_stable_80,coughvid,platt,external,0.3032465171285191,0.03420957868203097,-2.508555569761451
target_prevalence_intercept,8331,285,8046,0.03420957868203097,0.03862035153593014,0.004410772853899167,0.005391823882587222,0.33181486006117417,0.03399069323223802,0.1572023680346661,10,4,0.004410772853899167,0.4930474333983106,0.032495729220539706,0.5,0.0,1.0,0.0,0.5,external_model_grid_beats_predictions,random_forest,cough,top_stable_80,coughvid,platt,external,0.3032465171285191,0.03420957868203097,-2.508555569761451
source_calibrated,8331,285,8046,0.03420957868203097,0.2506557039042534,0.21644612522222242,0.21644612522222242,0.8092292387830557,0.10289616806639666,0.35748860599909527,10,9,0.21644612522222242,0.49112558926523375,0.03355169951327852,0.4893363161819538,0.06666666666666667,0.9120059656972409,0.037549407114624504,0.5,external_model_grid_beats_predictions,xgboost,cough,all,coughvid,platt,external,0.2506557039042534,0.03420957868203097,-2.2453229198824456
target_prevalence_intercept,8331,285,8046,0.03420957868203097,0.0406215910422822,0.006412012360251226,0.012320871988216015,0.3211632552530253,0.03468376583971613,0.16226320284637857,10,4,0.006412012360251226,0.49112558926523375,0.03355169951327852,0.5,0.0,1.0,0.0,0.5,external_model_grid_beats_predictions,xgboost,cough,all,coughvid,platt,external,0.2506557039042534,0.03420957868203097,-2.2453229198824456
source_calibrated,8331,285,8046,0.03420957868203097,0.25953051451151493,0.22532093582948395,0.22532093582948393,0.800178944726722,0.10976103272984734,0.372380597740652,10,9,0.22532093582948395,0.4879094330407176,0.03253419849951435,0.49330428980729224,0.09473684210526316,0.8918717375093214,0.04568527918781726,0.5,external_model_grid_beats_predictions,xgboost,cough,drop_high_shift,coughvid,platt,external,0.25953051451151493,0.03420957868203097,-2.2920310326980147
target_prevalence_intercept,8331,285,8046,0.03420957868203097,0.04136895517737501,0.007159376495344039,0.014100852268924427,0.2143278855286616,0.034873454363711684,0.16390079776429467,10,3,0.007159376495344039,0.4879094330407176,0.03253419849951435,0.5,0.0,1.0,0.0,0.5,external_model_grid_beats_predictions,xgboost,cough,drop_high_shift,coughvid,platt,external,0.25953051451151493,0.03420957868203097,-2.2920310326980147
source_calibrated,8331,285,8046,0.03420957868203097,0.3025729841286665,0.26836340544663556,0.26836340544663556,0.7104130626134018,0.13322018545677342,0.42953037625363844,10,8,0.26836340544663556,0.486852789443158,0.032801101891137274,0.49243494642646884,0.14035087719298245,0.8445190156599552,0.050761421319796954,0.5,external_model_grid_beats_predictions,xgboost,cough,top_stable_120,coughvid,platt,external,0.3025729841286665,0.03420957868203097,-2.505365818980815
target_prevalence_intercept,8331,285,8046,0.03420957868203097,0.04168795238130035,0.007478373699269382,0.011847128267234214,0.1379596475839076,0.034622769563229884,0.16303386713365514,10,3,0.007478373699269382,0.486852789443158,0.032801101891137274,0.5,0.0,1.0,0.0,0.5,external_model_grid_beats_predictions,xgboost,cough,top_stable_120,coughvid,platt,external,0.3025729841286665,0.03420957868203097,-2.505365818980815
source_calibrated,8331,285,8046,0.03420957868203097,0.30952700663325405,0.2753174279512231,0.27531742795122305,0.7027312806228145,0.13613724944852942,0.4364645949963462,10,8,0.2753174279512231,0.5114120125070319,0.03531652808255002,0.49997841359551,0.16140350877192983,0.8385533184190902,0.05644171779141104,0.5,external_model_grid_beats_predictions,xgboost,cough,top_stable_50,coughvid,platt,external,0.30952700663325405,0.03420957868203097,-2.538109659092778
