representation,modality,feature,coefficient,importance_abs,direction
beats,cough,beats_official_dim_0092,-0.21824957354567368,0.21824957354567368,source_domain
beats,cough,beats_official_dim_0717,-0.21807937567878533,0.21807937567878533,source_domain
beats,cough,beats_official_dim_0687,-0.2173005418031194,0.2173005418031194,source_domain
beats,cough,beats_official_dim_0223,-0.217208608665393,0.217208608665393,source_domain
beats,cough,beats_official_dim_0475,-0.2160858760915147,0.2160858760915147,source_domain
beats,cough,beats_official_dim_0309,-0.21559249885938514,0.21559249885938514,source_domain
beats,cough,beats_official_dim_0332,0.21480783329566353,0.21480783329566353,external_domain
beats,cough,beats_official_dim_0550,-0.21432032276638419,0.21432032276638419,source_domain
beats,cough,beats_official_dim_0111,-0.2142594830676072,0.2142594830676072,source_domain
beats,cough,beats_official_dim_0259,-0.21257418536646322,0.21257418536646322,source_domain
beats,cough,beats_official_dim_0534,-0.21216957542533646,0.21216957542533646,source_domain
beats,cough,beats_official_dim_0490,0.21161022993166026,0.21161022993166026,external_domain
beats,cough,beats_official_dim_0482,-0.21092703320087067,0.21092703320087067,source_domain
beats,cough,beats_official_dim_0496,-0.21029408927435406,0.21029408927435406,source_domain
beats,cough,beats_official_dim_0037,0.20965216597299846,0.20965216597299846,external_domain
beats,cough,beats_official_dim_0247,0.20951300685846055,0.20951300685846055,external_domain
beats,cough,beats_official_dim_0711,-0.20885338307219,0.20885338307219,source_domain
beats,cough,beats_official_dim_0753,-0.20869786711703978,0.20869786711703978,source_domain
beats,cough,beats_official_dim_0155,-0.20863436605553154,0.20863436605553154,source_domain
beats,cough,beats_official_dim_0234,-0.20717214468578857,0.20717214468578857,source_domain
