audit_model,feature,feature_group,existing_importance_abs,existing_coefficient,existing_rank,time_stratified_importance_abs,time_stratified_coefficient,time_stratified_rank,temporal_importance_abs,temporal_coefficient,temporal_rank,delta_temporal_minus_existing,delta_time_stratified_minus_existing
full_safe_metadata,country_United States,demographic,0.0177362108882244,-0.0177362108882244,61.0,0.0853305546876329,0.0853305546876329,50.0,1.2175188347423411,-1.2175188347423411,2.0,1.1997826238541167,0.0675943437994085
full_safe_metadata,gender_male,demographic,0.0039007050726207,-0.0039007050726207,62.0,0.1020398301933355,-0.1020398301933355,47.0,0.0794916925178332,-0.0794916925178332,37.0,0.07559098744521249,0.09813912512071479
full_safe_metadata,gender_female,demographic,0.0002588341617485,0.0002588341617485,63.0,0.1020398301933331,0.1020398301933331,48.0,0.0794916925178332,0.0794916925178332,36.0,0.07923285835608469,0.1017809960315846
full_safe_metadata,country_Brazil,demographic,,,,0.2239980259758506,-0.2239980259758506,23.0,,,,,
full_safe_metadata,country_Ecuador,demographic,,,,0.0798078043464041,-0.0798078043464041,51.0,,,,,
full_safe_metadata,country_Hungary,demographic,,,,0.1460965387650011,-0.1460965387650011,35.0,0.2055310600847203,-0.2055310600847203,26.0,,
full_safe_metadata,country_Indonesia,demographic,,,,,,,0.1567958306261579,-0.1567958306261579,30.0,,
full_safe_metadata,country_Ireland,demographic,,,,0.0437945560563691,-0.0437945560563691,60.0,0.0205243226721471,0.0205243226721471,56.0,,
full_safe_metadata,country_Italy,demographic,,,,0.0721349050624328,-0.0721349050624328,52.0,,,,,
full_safe_metadata,country_Mexico,demographic,,,,0.1271144124813051,-0.1271144124813051,40.0,0.1654139091598399,-0.1654139091598399,29.0,,
full_safe_metadata,country_Norway,demographic,,,,0.0466770149784729,-0.0466770149784729,58.0,0.0386718513887348,0.0386718513887348,49.0,,
full_safe_metadata,country_Philippines,demographic,,,,0.0412018432601676,-0.0412018432601676,61.0,0.0215317034088539,0.0215317034088539,55.0,,
full_safe_metadata,country_United Arab Emirates,demographic,,,,,,,0.0333619641975774,0.0333619641975774,51.0,,
symptoms_only,symptoms_json_cough,symptom_or_label_proxy,0.8728683040493913,0.8728683040493913,1.0,0.9298266340940798,0.9298266340940798,2.0,0.4904358249132066,0.4904358249132066,4.0,-0.3824324791361847,0.05695833004468853
symptoms_only,symptoms_json_ftg,symptom_or_label_proxy,0.8326165471988408,0.8326165471988408,2.0,1.0275263333258258,1.0275263333258258,1.0,0.0198206966624294,0.0198206966624294,9.0,-0.8127958505364115,0.19490978612698495
symptoms_only,symptoms_json_loss_of_smell,symptom_or_label_proxy,0.7018470634438981,0.7018470634438981,3.0,0.5972754606461895,0.5972754606461895,8.0,0.3991497520388088,0.3991497520388088,5.0,-0.3026973114050893,-0.10457160279770861
symptoms_only,symptoms_json_others_resp,symptom_or_label_proxy,0.6620374268997126,0.6620374268997126,4.0,0.6758546953617058,0.6758546953617058,7.0,,,,,0.01381726846199327
symptoms_only,symptoms_json_fever,symptom_or_label_proxy,0.5819343883569087,0.5819343883569087,5.0,0.9217891156948032,0.9217891156948032,3.0,0.6026767505819489,0.6026767505819489,2.0,0.020742362225040223,0.33985472733789446
symptoms_only,symptoms_json_cold,symptom_or_label_proxy,0.5605949911001793,0.5605949911001793,6.0,0.4833260333433895,0.4833260333433895,9.0,0.6129470656897339,0.6129470656897339,1.0,0.0523520745895546,-0.07726895775678977
symptoms_only,symptoms_json_mp,symptom_or_label_proxy,0.5524005016409624,0.5524005016409624,7.0,0.6918642604497023,0.6918642604497023,6.0,0.0764814323589246,0.0764814323589246,7.0,-0.47591906928203787,0.13946375880873985
symptoms_only,symptoms_json_st,symptom_or_label_proxy,0.5126991285222117,0.5126991285222117,8.0,0.7850046137813823,0.7850046137813823,5.0,0.5830346916744689,0.5830346916744689,3.0,0.0703355631522572,0.27230548525917064
symptoms_only,symptoms_json_bd,symptom_or_label_proxy,0.3904385709327568,0.3904385709327568,9.0,0.3628569166110929,0.3628569166110929,10.0,0.0680402825376003,0.0680402825376003,8.0,-0.3223982883951565,-0.02758165432166393
symptoms_only,symptoms_json_diarrhoea,symptom_or_label_proxy,0.1275464317090809,0.1275464317090809,10.0,0.8730993884715168,0.8730993884715168,4.0,0.2804348185692721,-0.2804348185692721,6.0,0.1528883868601912,0.7455529567624359
