bin_index,probability_lower,probability_upper,n_samples,n_positive,n_negative,mean_probability,observed_positive_rate,calibration_gap,abs_calibration_gap,prediction_source,model_name,modality,feature_strategy,fusion_method,dataset,calibration_method,split
7,0.7000000000000001,0.8,139,3,136,0.7307640473217945,0.02158273381294964,0.7091813135088448,0.7091813135088448,external_model_grid_beats_predictions,catboost,cough,top_stable_50,,coughvid,platt,external
0,0.0,0.1,15,0,15,0.09785326118589913,0.0,0.09785326118589913,0.09785326118589913,external_model_grid_beats_predictions,catboost,cough,top_stable_80,,coughvid,platt,external
1,0.1,0.2,2845,94,2751,0.1525490726828545,0.03304042179261863,0.11950865089023588,0.11950865089023588,external_model_grid_beats_predictions,catboost,cough,top_stable_80,,coughvid,platt,external
2,0.2,0.30000000000000004,2093,75,2018,0.24593458343855362,0.0358337314859054,0.21010085195264822,0.21010085195264822,external_model_grid_beats_predictions,catboost,cough,top_stable_80,,coughvid,platt,external
3,0.30000000000000004,0.4,1235,52,1183,0.3454193657103125,0.042105263157894736,0.30331410255241775,0.30331410255241775,external_model_grid_beats_predictions,catboost,cough,top_stable_80,,coughvid,platt,external
4,0.4,0.5,867,29,838,0.446820849377713,0.03344867358708189,0.4133721757906311,0.4133721757906311,external_model_grid_beats_predictions,catboost,cough,top_stable_80,,coughvid,platt,external
5,0.5,0.6000000000000001,664,19,645,0.5464568589116697,0.0286144578313253,0.5178424010803444,0.5178424010803444,external_model_grid_beats_predictions,catboost,cough,top_stable_80,,coughvid,platt,external
6,0.6000000000000001,0.7000000000000001,397,14,383,0.6492673854082353,0.03526448362720403,0.6140029017810312,0.6140029017810312,external_model_grid_beats_predictions,catboost,cough,top_stable_80,,coughvid,platt,external
7,0.7000000000000001,0.8,214,2,212,0.7363367545069053,0.009345794392523364,0.7269909601143819,0.7269909601143819,external_model_grid_beats_predictions,catboost,cough,top_stable_80,,coughvid,platt,external
8,0.8,0.9,1,0,1,0.8065950796228345,0.0,0.8065950796228345,0.8065950796228345,external_model_grid_beats_predictions,catboost,cough,top_stable_80,,coughvid,platt,external
1,0.1,0.2,5027,174,4853,0.16268776252557904,0.0346130893176845,0.12807467320789453,0.12807467320789453,external_model_grid_beats_predictions,lightgbm,cough,all,,coughvid,platt,external
