prediction_source,model_name,modality,feature_strategy,fusion_method,dataset,calibration_method,split,n_samples,n_positive,n_negative,observed_prevalence,mean_probability,calibration_gap,ece,mce,brier,nll,n_bins,non_empty_bins
external_model_grid_opensmile_egemaps_predictions,random_forest,cough,top_stable_50,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.28925342187681324,0.2550438431947823,0.2550438431947823,0.6289045564886355,0.10529631311065556,0.38035408369125934,10,7
external_model_grid_opensmile_egemaps_predictions,random_forest,cough,top_stable_80,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.29007878525660796,0.255869206574577,0.255869206574577,0.6315818999134941,0.10637983760331136,0.38251770971856314,10,7
external_model_grid_opensmile_egemaps_predictions,xgboost,cough,all,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.25726331410515896,0.22305373542312798,0.22305373542312795,0.6331235648916274,0.10180410899233167,0.3581348591590437,10,8
external_model_grid_opensmile_egemaps_predictions,xgboost,cough,drop_high_shift,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.24849193709845263,0.21428235841642165,0.21428235841642163,0.7262486593512137,0.09340876460651892,0.3405124630836974,10,8
external_model_grid_opensmile_egemaps_predictions,xgboost,cough,top_stable_120,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.25800186291801275,0.22379228423598177,0.2237922842359817,0.6495558401892254,0.10192074077692127,0.358640169476228,10,8
external_model_grid_opensmile_egemaps_predictions,xgboost,cough,top_stable_50,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.2793776777640768,0.24516809908204582,0.24516809908204582,0.6080829092486679,0.10743176893352907,0.3767951967401943,10,7
external_model_grid_opensmile_egemaps_predictions,xgboost,cough,top_stable_80,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.27457328376488255,0.24036370508285157,0.24036370508285154,0.6268606986303433,0.1063250095906074,0.3730637935033434,10,8
external_model_grid_panns_predictions,catboost,cough,all,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.2919338917565725,0.2577243130745415,0.25772431307454147,0.5974123985278839,0.11130696247916802,0.39134737980667844,10,6
external_model_grid_panns_predictions,catboost,cough,drop_high_shift,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.30001163428056904,0.2658020555985381,0.2658020555985381,0.6140210297579095,0.11211234192937483,0.3964444484132825,10,6
external_model_grid_panns_predictions,lightgbm,cough,all,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.28757137218541684,0.2533617935033859,0.25336179350338595,0.5967904693715629,0.11039835679783166,0.3884311009046339,10,6
external_model_grid_panns_predictions,lightgbm,cough,drop_high_shift,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.2989594517207667,0.26474987303873576,0.26474987303873576,0.5825757808684074,0.11354653489819408,0.3985068067535743,10,5
external_model_grid_panns_predictions,logistic_regression,cough,all,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.2981203307497886,0.26391075206775766,0.26391075206775766,0.4321616562237235,0.11159855030142042,0.3947691073829809,10,3
external_model_grid_panns_predictions,logistic_regression,cough,drop_high_shift,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.30560471987498566,0.2713951411929547,0.2713951411929547,0.42514614413563856,0.11514457138340482,0.40365259508660045,10,3
external_model_grid_panns_predictions,random_forest,cough,all,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.3102350657600009,0.27602548707797,0.2760254870779699,0.6527033790009177,0.11459119192850599,0.4060132871217003,10,6
external_model_grid_panns_predictions,random_forest,cough,drop_high_shift,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.31610647317839274,0.2818968944963618,0.2818968944963618,0.6479691545062696,0.11695386851220746,0.4124917617199757,10,6
external_model_grid_panns_predictions,xgboost,cough,all,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.29623371255537234,0.2620241338733414,0.26202413387334134,0.6021139874725981,0.11256675628521191,0.3955730238506451,10,6
external_model_grid_panns_predictions,xgboost,cough,drop_high_shift,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.304582941944458,0.27037336326242706,0.27037336326242706,0.6078692990952664,0.11502097162794837,0.40325223686919176,10,6
external_model_grid_predictions,catboost,cough,all,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.2652569553267952,0.23104737664476424,0.2310473766447642,0.649654182475368,0.10405235440582637,0.36527942745317077,10,8
external_model_grid_predictions,catboost,cough,drop_high_shift,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.2968400902260948,0.26263051154406386,0.2626305115440638,0.6169473039576207,0.11854678196278509,0.4031283459025636,10,8
external_model_grid_predictions,catboost,cough,top_stable_120,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.3049693548165967,0.27075977613456575,0.2707597761345658,0.5084584758708833,0.11738031820683575,0.40624795825892146,10,6
external_model_grid_predictions,catboost,cough,top_stable_50,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.3203648205204593,0.28615524183842833,0.28615524183842833,0.6103176486524665,0.12108954265364223,0.4202106645520116,10,6
